Zip,CD110,privatepartyexcellent,privatepartyfair,privatepartygood,privatepartyverygood,min-tradeinfair,tradeinfair,max-tradeinfair,min-tradeingood,tradeingood,max-tradeingood,min-tradeinverygood,tradeinverygood,max-tradeinverygood
63031,MO-01,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
64001,MO-04,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
64012,MO-05,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
64748,MO-07,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
59001,MT-00,17394,14894,16294,16844,12305,12655,13040,13974,14355,14735,14683,15055,15426
68001,NE-01,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
68005,NE-02,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
68303,NE-03,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
89001,NV-02,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
89004,NV-03,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
89030,NV-01,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
3031,NH-01,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
3031,NH-02,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
7001,NJ-07,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
7001,NJ-13,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
7002,NJ-10,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
7003,NJ-08,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
7004,NJ-11,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
7010,NJ-09,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
7060,NJ-06,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
7401,NJ-05,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
7701,NJ-12,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
